dist | application/octet-stream
mpga | audio/mpeg
ogg | audio/ogg
zirz | application/vnd.zul
mcd | application/vnd.mcd
uoml | application/vnd.uoml+xml
dra | audio/vnd.dra
ma | application/mathematica
mb | application/mathematica
u32 | application/x-authorware-bin
me | text/troff
oxps | application/oxps
wbmp | image/vnd.wap.wbmp
ogv | video/ogg
ogx | application/ogg
mpg4 | video/mp4
fvt | video/vnd.fvt
ms | text/troff
spc | application/x-pkcs7-certificates
spf | application/vnd.yamaha.smaf-phrase
f4v | video/x-f4v
mdb | application/x-msaccess
spl | application/x-futuresplash
woff | application/x-font-woff
spp | application/scvp-vp-response
mdi | image/vnd.ms-modi
nb | application/mathematica
dsc | text/prs.lines.tag
nc | application/x-netcdf
spq | application/scvp-vp-request
mpeg | video/mpeg
spx | audio/ogg
utz | application/vnd.uiq.theme
f77 | text/x-fortran
p8 | application/pkcs8
box | application/vnd.previewsystems.box
boz | application/x-bzip2
sql | application/x-sql
dtb | application/x-dtbook+xml
dtd | application/xml-dtd
bpk | application/octet-stream
kar | audio/midi
mesh | model/mesh
fxp | application/vnd.adobe.fxp
uva | audio/vnd.dece.audio
dts | audio/vnd.dts
uvd | application/vnd.dece.data
uvf | application/vnd.dece.data
src | application/x-wais-source
uvh | video/vnd.dece.hd
uvg | image/vnd.dece.graphic
uvi | image/vnd.dece.graphic
uvm | video/vnd.dece.mobile
uvp | video/vnd.dece.pd
uvt | application/vnd.dece.ttml+xml
uvs | video/vnd.dece.sd
srt | application/x-subrip
uvv | video/vnd.dece.video
mfm | application/vnd.mfmp
uvu | video/vnd.uvvu.mp4
uvx | application/vnd.dece.unspecified
sru | application/sru+xml
srx | application/sparql-results+xml
uvz | application/vnd.dece.zip
mft | application/rpki-manifest
f90 | text/x-fortran
curl | text/vnd.curl
ps | application/postscript
sse | application/vnd.kodak-descriptor
ssf | application/vnd.epson.ssf
mpkg | application/vnd.apple.installer+xml
dvb | video/vnd.dvb.file
dvi | application/x-dvi
mgp | application/vnd.osgeo.mapguide.package
xlam | application/vnd.ms-excel.addin.macroenabled.12
fzs | application/vnd.fuzzysheet
csml | chemical/x-csml
mgz | application/vnd.proteus.magazine
fcdt | application/vnd.adobe.formscentral.fcdt
std | application/vnd.sun.xml.draw.template
qt | video/quicktime
stc | application/vnd.sun.xml.calc.template
mets | application/mets+xml
stf | application/vnd.wt.stf
sti | application/vnd.sun.xml.impress.template
stl | application/vnd.ms-pki.stl
stk | application/hyperstudio
vcard | text/vcard
ra | audio/x-pn-realaudio
str | application/vnd.pg.format
123 | application/vnd.lotus-1-2-3
dwf | model/vnd.dwf
zaz | application/vnd.zzazz.deck+xml
mj2 | video/mj2
dwg | image/vnd.dwg
qps | application/vnd.publishare-delta-tree
mcurl | text/vnd.curl.mcurl
stw | application/vnd.sun.xml.writer.template
rl | application/resource-lists+xml
rm | application/vnd.rn-realmedia
rq | application/sparql-query
t3 | application/x-t3vm-image
rs | application/rls-services+xml
sub | text/vnd.dvb.subtitle
cmdf | chemical/x-cmdf
seed | application/vnd.fdsn.seed
karbon | application/vnd.kde.karbon
mie | application/x-mie
mid | audio/midi
mif | application/x-mif
s3m | audio/s3m
metalink | application/metalink+xml
sc | application/vnd.ibm.secure-container
sus | application/vnd.sus-calendar
dxf | image/vnd.dxf
sh | application/x-sh
sm | application/vnd.stepmania.stepchart
so | application/octet-stream
dxp | application/vnd.spotfire.dxp
dxr | application/x-director
svd | application/vnd.svd
st | application/vnd.sailingtracker.track
svc | application/vnd.dvb.service
twds | application/vnd.simtech-mindmapper
svg | image/svg+xml
maker | application/vnd.framemaker
mseed | application/vnd.fdsn.mseed
silo | model/mesh
xaml | application/xaml+xml
kfo | application/vnd.kde.kformula
link66 | application/vnd.route66.link66+xml
swa | application/x-director
fxpl | application/vnd.adobe.fxp
tr | text/troff
mka | audio/x-matroska
swf | application/x-shockwave-flash
swi | application/vnd.aristanetworks.swi
icc | application/vnd.iccprofile
ice | x-conference/x-cooltalk
c11amz | application/vnd.cluetrust.cartomobile-config-pkg
icm | application/vnd.iccprofile
ico | image/x-icon
mks | video/x-matroska
ics | text/calendar
mkv | video/x-matroska
sxd | application/vnd.sun.xml.draw
